Title,Publication Date,Author,Location,Summary,Full Article Content,URL,Word Count,Sentence Count,Character Count,Avg Word Length,Year-Month,Cleaned Text,Tokens,Lemmatized Text,Sentiment Score,Sentiment Category,Tokenized Text,Dominant Topic
OpenAI Unveils New A.I. That Can ‘Reason’ Through Math and Science Problems,2024-12-20 20:03:01+00:00,By Cade Metz,Technology,"The artificial intelligence start-up said the new system, OpenAI o3, outperformed leading A.I. technologies on tests that rate skills in math, science, coding and logic.","OpenAI on Friday unveiled a new artificial intelligence system, OpenAI o3, which is designed to “reason” through problems involving math, science and computer programming.",https://www.nytimes.com/2024/12/20/technology/openai-new-ai-math-science.html,24,2,171,6.166666666666667,2024-12,openai friday unveiled new artificial intelligence system openai designed “reason” problems involving math science computer programming,"['openai', 'friday', 'unveiled', 'new', 'artificial', 'intelligence', 'system', 'openai', 'designed', '“', 'reason', '”', 'problems', 'involving', 'math', 'science', 'computer', 'programming']","openai friday unveil new artificial intelligence system openai design "" reason "" problem involve math science computer programming",0.1027,Positive,"['openai', 'friday', 'unveiled', 'new', 'artificial', 'intelligence', 'system', 'openai', 'designed', '“', 'reason', '”', 'problems', 'involving', 'math', 'science', 'computer', 'programming']",0
Why Wouldn’t ChatGPT Say This Dead Professor’s Name?,2024-12-06 14:29:52+00:00,By Ali Watkins,U.S.,"A bizarre saga in which users noticed the chatbot refused to say “David Mayer” raised questions about privacy and A.I., with few clear answers.","Across the final years of his life, David Mayer, a theater professor living in Manchester, England, faced the cascading consequences of an unfortunate coincidence: A dead Chechen rebel on a terror watch list had once used Mr. Mayer’s name as an alias.",https://www.nytimes.com/2024/12/06/us/david-mayer-chatgpt-openai.html,42,3,251,5.0,2024-12,across final years life david mayer theater professor living manchester england faced cascading consequences unfortunate coincidence dead chechen rebel terror watch list used mr mayer’s name alias,"['across', 'final', 'years', 'life', 'david', 'mayer', 'theater', 'professor', 'living', 'manchester', 'england', 'faced', 'cascading', 'consequences', 'unfortunate', 'coincidence', 'dead', 'chechen', 'rebel', 'terror', 'watch', 'list', 'used', 'mr', 'mayer', '’s', 'name', 'alias']",across final year life david mayer theater professor living manchester england face cascade consequence unfortunate coincidence dead chechen rebel terror watch list use mr mayer ’s name alia,-0.9062,Negative,"['across', 'final', 'years', 'life', 'david', 'mayer', 'theater', 'professor', 'living', 'manchester', 'england', 'faced', 'cascading', 'consequences', 'unfortunate', 'coincidence', 'dead', 'chechen', 'rebel', 'terror', 'watch', 'list', 'used', 'mr', 'mayer', '’', 's', 'name', 'alias']",0
Why Does OpenAI Need So Much Money?,2024-12-17 16:30:42+00:00,By Cade Metz,Technology,Building a chatbot like ChatGPT requires billions upon billions of dollars. That’s the driving force behind OpenAI’s plans to change how it’s managed.,"Early last year, OpenAI raised $10 billion. Just 18 months later, the company had burned through most of that money. So it raised $6.6 billion more and arranged to borrow an additional $4 billion.",https://www.nytimes.com/2024/12/17/technology/openai-chatgpt-funding.html,34,5,196,4.794117647058823,2024-12,early last year openai raised billion months later company burned money raised billion arranged borrow additional billion,"['early', 'last', 'year', 'openai', 'raised', 'billion', 'months', 'later', 'company', 'burned', 'money', 'raised', 'billion', 'arranged', 'borrow', 'additional', 'billion']",early last year openai raise billion month later company burn money raise billion arrange borrow additional billion,0.0,Neutral,"['early', 'last', 'year', 'openai', 'raised', 'billion', 'months', 'later', 'company', 'burned', 'money', 'raised', 'billion', 'arranged', 'borrow', 'additional', 'billion']",3
How OpenAI Hopes to Sever Its Nonprofit Roots,2024-12-17 16:30:25+00:00,"By David A. Fahrenthold, Cade Metz and Mike Isaac",Technology,"As the maker of ChatGPT battles Google and Meta for A.I. supremacy, it’s also fighting to end control by a nonprofit board.","Last fall, the nonprofit that controls OpenAI tried to fire the company’s high-profile leader, Sam Altman. It failed.",https://www.nytimes.com/2024/12/17/technology/openai-nonprofit-control.html,18,3,117,5.555555555555555,2024-12,last fall nonprofit controls openai tried fire company’s highprofile leader sam altman failed,"['last', 'fall', 'nonprofit', 'controls', 'openai', 'tried', 'fire', 'company', '’s', 'highprofile', 'leader', 'sam', 'altman', 'failed']",last fall nonprofit control openai try fire company ’s highprofile leader sam altman fail,-0.6908,Negative,"['last', 'fall', 'nonprofit', 'controls', 'openai', 'tried', 'fire', 'company', '’', 's', 'highprofile', 'leader', 'sam', 'altman', 'failed']",3
"Sam Altman on Microsoft, Trump and Musk",2024-12-14 13:00:02+00:00,By Andrew Ross Sorkin and Sarah Kessler,Business Day,The OpenAI C.E.O. spoke with Andrew Ross Sorkin at the DealBook Summit.,"Since kicking off the artificial intelligence boom with the launch of ChatGPT in 2022, OpenAI has amassed more than 300 million weekly users and a $157 billion valuation. Its C.E.O., Sam Altman, addressed whether that staggering pace of growth can continue at the DealBook Summit last week.",https://www.nytimes.com/2024/12/14/business/dealbook/sam-altman-dealbook.html,47,6,290,5.191489361702128,2024-12,since kicking artificial intelligence boom launch chatgpt openai amassed million weekly users billion valuation ceo sam altman addressed whether staggering pace growth continue dealbook summit last week,"['since', 'kicking', 'artificial', 'intelligence', 'boom', 'launch', 'chatgpt', 'openai', 'amassed', 'million', 'weekly', 'users', 'billion', 'valuation', 'ceo', 'sam', 'altman', 'addressed', 'whether', 'staggering', 'pace', 'growth', 'continue', 'dealbook', 'summit', 'last', 'week']",since kick artificial intelligence boom launch chatgpt openai amass million weekly user billion valuation ceo sam altman address whether staggering pace growth continue dealbook summit last week,0.6908,Positive,"['since', 'kicking', 'artificial', 'intelligence', 'boom', 'launch', 'chatgpt', 'openai', 'amassed', 'million', 'weekly', 'users', 'billion', 'valuation', 'ceo', 'sam', 'altman', 'addressed', 'whether', 'staggering', 'pace', 'growth', 'continue', 'dealbook', 'summit', 'last', 'week']",3
Major Canadian News Outlets Sue OpenAI in New Copyright Case,2024-11-29 19:37:05+00:00,By Matina Stevis-Gridneff,World,A coalition of some of Canada’s biggest media companies is seeking billions of dollars in compensation for what they say is copyright infringement on their work through ChatGPT.,"A coalition of Canada’s biggest news organizations is suing OpenAI, the maker of the artificial intelligence chatbot, ChatGPT, accusing the company of illegally using their content in the first case of its kind in the country.",https://www.nytimes.com/2024/11/29/world/canada/canada-openai-lawsuit-copyright.html,36,2,226,5.305555555555555,2024-11,coalition canada’s biggest news organizations suing openai maker artificial intelligence chatbot chatgpt accusing company illegally using content first case kind country,"['coalition', 'canada', '’s', 'biggest', 'news', 'organizations', 'suing', 'openai', 'maker', 'artificial', 'intelligence', 'chatbot', 'chatgpt', 'accusing', 'company', 'illegally', 'using', 'content', 'first', 'case', 'kind', 'country']",coalition canada ’s big news organization sue openai maker artificial intelligence chatbot chatgpt accuse company illegally use content first case kind country,0.5719,Positive,"['coalition', 'canada', '’', 's', 'biggest', 'news', 'organizations', 'suing', 'openai', 'maker', 'artificial', 'intelligence', 'chatbot', 'chatgpt', 'accusing', 'company', 'illegally', 'using', 'content', 'first', 'case', 'kind', 'country']",3
Crypto Congress + HBD ChatGPT + What Social Media Platform Should I Be On?,2024-11-15 12:00:06+00:00,"By Kevin Roose, Casey Newton, Whitney Jones, Rachel Cohn, Jen Poyant, Alyssa Moxley, Dan Powell, Rowan Niemisto and Diane Wong",Podcasts,Cryptocurrency is poised to have a huge year in 2025.,"This week, we explore how the 2024 election paved the way for a new crypto-friendly Congress and what that means for the future of crypto. Then, for ChatGPT’s second birthday, Nick Turley, ChatGPT head of product at OpenAI, stops by to tell us where it goes from here and share some of his favorite chatbot hacks. Finally, a listener emailed us last week asking what social network he should be using in 2024. We’ll share our thoughts on which text-based platforms are the least annoying.",https://www.nytimes.com/2024/11/15/podcasts/crypto-congress-hbd-chatgpt-what-social-media-platform-should-i-be-on.html,85,5,488,4.752941176470588,2024-11,week explore election paved way new cryptofriendly congress means future crypto chatgpt’s second birthday nick turley chatgpt head product openai stops tell us goes share favorite chatbot hacks finally listener emailed us last week asking social network using we’ll share thoughts textbased platforms least annoying,"['week', 'explore', 'election', 'paved', 'way', 'new', 'cryptofriendly', 'congress', 'means', 'future', 'crypto', 'chatgpt', '’s', 'second', 'birthday', 'nick', 'turley', 'chatgpt', 'head', 'product', 'openai', 'stops', 'tell', 'us', 'goes', 'share', 'favorite', 'chatbot', 'hacks', 'finally', 'listener', 'emailed', 'us', 'last', 'week', 'asking', 'social', 'network', 'using', 'we', '’ll', 'share', 'thoughts', 'textbased', 'platforms', 'least', 'annoying']",week explore election paved way new cryptofriendly congress mean future crypto chatgpt ’s second birthday nick turley chatgpt head product openai stop tell we go share favorite chatbot hack finally listener email we last week ask social network use we ’ll share thought textbase platform least annoy,0.794,Positive,"['week', 'explore', 'election', 'paved', 'way', 'new', 'cryptofriendly', 'congress', 'means', 'future', 'crypto', 'chatgpt', '’', 's', 'second', 'birthday', 'nick', 'turley', 'chatgpt', 'head', 'product', 'openai', 'stops', 'tell', 'us', 'goes', 'share', 'favorite', 'chatbot', 'hacks', 'finally', 'listener', 'emailed', 'us', 'last', 'week', 'asking', 'social', 'network', 'using', 'we', '’', 'll', 'share', 'thoughts', 'textbased', 'platforms', 'least', 'annoying']",4
A.I. Chatbots Defeated Doctors at Diagnosing Illness,2024-11-17 10:01:01+00:00,By Gina Kolata,Health,"A small study found ChatGPT outdid human physicians when assessing medical case histories, even when those doctors were using a chatbot.","Dr. Adam Rodman, an expert in internal medicine at Beth Israel Deaconess Medical Center in Boston, confidently expected that chatbots built to use artificial intelligence would help doctors diagnose illnesses.",https://www.nytimes.com/2024/11/17/health/chatgpt-ai-doctors-diagnosis.html,30,3,209,6.0,2024-11,dr adam rodman expert internal medicine beth israel deaconess medical center boston confidently expected chatbots built use artificial intelligence would help doctors diagnose illnesses,"['dr', 'adam', 'rodman', 'expert', 'internal', 'medicine', 'beth', 'israel', 'deaconess', 'medical', 'center', 'boston', 'confidently', 'expected', 'chatbots', 'built', 'use', 'artificial', 'intelligence', 'would', 'help', 'doctors', 'diagnose', 'illnesses']",dr adam rodman expert internal medicine beth israel deaconess medical center boston confidently expect chatbot build use artificial intelligence would help doctor diagnose illness,0.6908,Positive,"['dr', 'adam', 'rodman', 'expert', 'internal', 'medicine', 'beth', 'israel', 'deaconess', 'medical', 'center', 'boston', 'confidently', 'expected', 'chatbots', 'built', 'use', 'artificial', 'intelligence', 'would', 'help', 'doctors', 'diagnose', 'illnesses']",1
OpenAI Folds A.I.-Powered Search Engine Into ChatGPT,2024-10-31 17:00:13+00:00,By Cade Metz,Technology,"The popular online chatbot can now access and deliver information from across the internet in real time, including news, stock prices and sports scores.",OpenAI has folded a search engine into its ChatGPT chatbot.,https://www.nytimes.com/2024/10/31/technology/chatgpt-openai-search-engine.html,10,2,59,5.0,2024-10,openai folded search engine chatgpt chatbot,"['openai', 'folded', 'search', 'engine', 'chatgpt', 'chatbot']",openai fold search engine chatgpt chatbot,0.0,Neutral,"['openai', 'folded', 'search', 'engine', 'chatgpt', 'chatbot']",3
"Stand-Up, Drama and Spambots: The Creative World Takes On A.I.",2024-11-13 10:00:52+00:00,By Erin Griffith,Technology,Artificial intelligence has become a subject for people in the art and theater worlds who are worried about being replaced by it.,"Inside a curved glass building next to the Golden State Warriors’ arena in San Francisco, eight cans of Spam with tiny arms whirred to life, tapping out artificial-intelligence-generated word slop on miniature keyboards. They were part of the Misalignment A.I. Museum, a gallery dedicated to A.I.-inspired art.",https://www.nytimes.com/2024/11/13/technology/ai-comedy-museums-plays.html,47,7,310,5.617021276595745,2024-11,inside curved glass building next golden state warriors’ arena san francisco eight cans spam tiny arms whirred life tapping artificialintelligencegenerated word slop miniature keyboards part misalignment ai museum gallery dedicated aiinspired art,"['inside', 'curved', 'glass', 'building', 'next', 'golden', 'state', 'warriors', '’', 'arena', 'san', 'francisco', 'eight', 'cans', 'spam', 'tiny', 'arms', 'whirred', 'life', 'tapping', 'artificialintelligencegenerated', 'word', 'slop', 'miniature', 'keyboards', 'part', 'misalignment', 'ai', 'museum', 'gallery', 'dedicated', 'aiinspired', 'art']",inside curved glass building next golden state warrior ’ arena san francisco eight can spam tiny arm whir life tap artificialintelligencegenerated word slop miniature keyboards part misalignment ai museum gallery dedicate aiinspire art,0.128,Positive,"['inside', 'curved', 'glass', 'building', 'next', 'golden', 'state', 'warriors', '’', 'arena', 'san', 'francisco', 'eight', 'cans', 'spam', 'tiny', 'arms', 'whirred', 'life', 'tapping', 'artificialintelligencegenerated', 'word', 'slop', 'miniature', 'keyboards', 'part', 'misalignment', 'ai', 'museum', 'gallery', 'dedicated', 'aiinspired', 'art']",2
I Took a ‘Decision Holiday’ and Put A.I. in Charge of My Life,2024-11-01 22:07:32+00:00,By Kashmir Hill and Hang Do Thi Duc,Technology,"I thought it would make me put glue on pizza, but instead it entertained my children and got me to finally paint my office. How could it transform our daily lives?","I thought it would make me put glue on pizza, but instead it entertained my children and got me to finally paint my office. How could it transform our daily lives?",https://www.nytimes.com/interactive/2024/11/01/technology/generative-ai-decisions-experiment.html,31,2,163,4.290322580645161,2024-11,thought would make put glue pizza instead entertained children got finally paint office could transform daily lives,"['thought', 'would', 'make', 'put', 'glue', 'pizza', 'instead', 'entertained', 'children', 'got', 'finally', 'paint', 'office', 'could', 'transform', 'daily', 'lives']",thought would make put glue pizza instead entertain child get finally paint office could transform daily life,0.4019,Positive,"['thought', 'would', 'make', 'put', 'glue', 'pizza', 'instead', 'entertained', 'children', 'got', 'finally', 'paint', 'office', 'could', 'transform', 'daily', 'lives']",1
Elon Musk’s xAI in Funding Talks That Could Value Company at $40 Billion,2024-10-31 20:45:59+00:00,By Mike Isaac and Cade Metz,Technology,"The financing efforts follow that of rival OpenAI, which recently closed a funding round that valued it at $157 billion.","Elon Musk’s artificial intelligence start-up, xAI, is in talks to raise new financing that could value it at as much as $40 billion, up from $24 billion five months ago, three people with knowledge of the discussions said.",https://www.nytimes.com/2024/10/31/technology/elon-musk-xai-valuation.html,38,2,222,4.868421052631579,2024-10,elon musk’s artificial intelligence startup xai talks raise new financing could value much billion billion five months ago three people knowledge discussions said,"['elon', 'musk', '’s', 'artificial', 'intelligence', 'startup', 'xai', 'talks', 'raise', 'new', 'financing', 'could', 'value', 'much', 'billion', 'billion', 'five', 'months', 'ago', 'three', 'people', 'knowledge', 'discussions', 'said']",elon musk ’s artificial intelligence startup xai talk raise new financing could value much billion billion five month ago three people knowledge discussion say,0.6705,Positive,"['elon', 'musk', '’', 's', 'artificial', 'intelligence', 'startup', 'xai', 'talks', 'raise', 'new', 'financing', 'could', 'value', 'much', 'billion', 'billion', 'five', 'months', 'ago', 'three', 'people', 'knowledge', 'discussions', 'said']",1
"Who Is That You Are Chatting With? Oh, Just ChatGPT.",2024-10-13 09:02:12+00:00,By Jessica Roy,Style,The artificial intelligence chatbot’s Advanced Voice Mode feature has delighted some users and weirded out others.,"When you think of what a voice programmed by artificial intelligence would sound like, you might picture something robotic and stilted, with a staccato cadence incapable of capturing the inflections, speed and emotion required to sound even somewhat human. But this is 2024, and the robots have gotten a serious upgrade. Now they can imitate voices, accents and intonation to an almost creepy degree — for better or worse.",https://www.nytimes.com/2024/10/13/style/chatgpt-voice-mode.html,69,4,422,5.130434782608695,2024-10,think voice programmed artificial intelligence would sound like might picture something robotic stilted staccato cadence incapable capturing inflections speed emotion required sound even somewhat human robots gotten serious upgrade imitate voices accents intonation almost creepy degree — better worse,"['think', 'voice', 'programmed', 'artificial', 'intelligence', 'would', 'sound', 'like', 'might', 'picture', 'something', 'robotic', 'stilted', 'staccato', 'cadence', 'incapable', 'capturing', 'inflections', 'speed', 'emotion', 'required', 'sound', 'even', 'somewhat', 'human', 'robots', 'gotten', 'serious', 'upgrade', 'imitate', 'voices', 'accents', 'intonation', 'almost', 'creepy', 'degree', '—', 'better', 'worse']",think voice program artificial intelligence would sound like might picture something robotic stilte staccato cadence incapable capturing inflection speed emotion require sound even somewhat human robot get serious upgrade imitate voice accent intonation almost creepy degree — well bad,0.3612,Positive,"['think', 'voice', 'programmed', 'artificial', 'intelligence', 'would', 'sound', 'like', 'might', 'picture', 'something', 'robotic', 'stilted', 'staccato', 'cadence', 'incapable', 'capturing', 'inflections', 'speed', 'emotion', 'required', 'sound', 'even', 'somewhat', 'human', 'robots', 'gotten', 'serious', 'upgrade', 'imitate', 'voices', 'accents', 'intonation', 'almost', 'creepy', 'degree', '—', 'better', 'worse']",3
Former OpenAI Researcher Says the Company Broke Copyright Law,2024-10-23 15:35:46+00:00,By Cade Metz,Technology,Suchir Balaji helped gather and organize the enormous amounts of internet data used to train the startup’s ChatGPT chatbot.,"Suchir Balaji spent nearly four years as an artificial intelligence researcher at OpenAI. Among other projects, he helped gather and organize the enormous amounts of internet data the company used to build its online chatbot, ChatGPT.",https://www.nytimes.com/2024/10/23/technology/openai-copyright-law.html,36,3,234,5.527777777777778,2024-10,suchir balaji spent nearly four years artificial intelligence researcher openai among projects helped gather organize enormous amounts internet data company used build online chatbot chatgpt,"['suchir', 'balaji', 'spent', 'nearly', 'four', 'years', 'artificial', 'intelligence', 'researcher', 'openai', 'among', 'projects', 'helped', 'gather', 'organize', 'enormous', 'amounts', 'internet', 'data', 'company', 'used', 'build', 'online', 'chatbot', 'chatgpt']",suchir balaji spend nearly four year artificial intelligence researcher openai among project help gather organize enormous amount internet datum company use build online chatbot chatgpt,0.4767,Positive,"['suchir', 'balaji', 'spent', 'nearly', 'four', 'years', 'artificial', 'intelligence', 'researcher', 'openai', 'among', 'projects', 'helped', 'gather', 'organize', 'enormous', 'amounts', 'internet', 'data', 'company', 'used', 'build', 'online', 'chatbot', 'chatgpt']",3
