Title,Publication Date,Author,Location,Summary,Full Article Content,URL
OpenAI Unveils New A.I. That Can ‘Reason’ Through Math and Science Problems,2024-12-20T20:03:01+0000,By Cade Metz,Technology,"The artificial intelligence start-up said the new system, OpenAI o3, outperformed leading A.I. technologies on tests that rate skills in math, science, coding and logic.","OpenAI on Friday unveiled a new artificial intelligence system, OpenAI o3, which is designed to “reason” through problems involving math, science and computer programming.",https://www.nytimes.com/2024/12/20/technology/openai-new-ai-math-science.html
Why Wouldn’t ChatGPT Say This Dead Professor’s Name?,2024-12-06T14:29:52+0000,By Ali Watkins,U.S.,"A bizarre saga in which users noticed the chatbot refused to say “David Mayer” raised questions about privacy and A.I., with few clear answers.","Across the final years of his life, David Mayer, a theater professor living in Manchester, England, faced the cascading consequences of an unfortunate coincidence: A dead Chechen rebel on a terror watch list had once used Mr. Mayer’s name as an alias.",https://www.nytimes.com/2024/12/06/us/david-mayer-chatgpt-openai.html
Why Does OpenAI Need So Much Money?,2024-12-17T16:30:42+0000,By Cade Metz,Technology,Building a chatbot like ChatGPT requires billions upon billions of dollars. That’s the driving force behind OpenAI’s plans to change how it’s managed.,"Early last year, OpenAI raised $10 billion. Just 18 months later, the company had burned through most of that money. So it raised $6.6 billion more and arranged to borrow an additional $4 billion.",https://www.nytimes.com/2024/12/17/technology/openai-chatgpt-funding.html
How OpenAI Hopes to Sever Its Nonprofit Roots,2024-12-17T16:30:25+0000,"By David A. Fahrenthold, Cade Metz and Mike Isaac",Technology,"As the maker of ChatGPT battles Google and Meta for A.I. supremacy, it’s also fighting to end control by a nonprofit board.","Last fall, the nonprofit that controls OpenAI tried to fire the company’s high-profile leader, Sam Altman. It failed.",https://www.nytimes.com/2024/12/17/technology/openai-nonprofit-control.html
"Sam Altman on Microsoft, Trump and Musk",2024-12-14T13:00:02+0000,By Andrew Ross Sorkin and Sarah Kessler,Business Day,The OpenAI C.E.O. spoke with Andrew Ross Sorkin at the DealBook Summit.,"Since kicking off the artificial intelligence boom with the launch of ChatGPT in 2022, OpenAI has amassed more than 300 million weekly users and a $157 billion valuation. Its C.E.O., Sam Altman, addressed whether that staggering pace of growth can continue at the DealBook Summit last week.",https://www.nytimes.com/2024/12/14/business/dealbook/sam-altman-dealbook.html
Major Canadian News Outlets Sue OpenAI in New Copyright Case,2024-11-29T19:37:05+0000,By Matina Stevis-Gridneff,World,A coalition of some of Canada’s biggest media companies is seeking billions of dollars in compensation for what they say is copyright infringement on their work through ChatGPT.,"A coalition of Canada’s biggest news organizations is suing OpenAI, the maker of the artificial intelligence chatbot, ChatGPT, accusing the company of illegally using their content in the first case of its kind in the country.",https://www.nytimes.com/2024/11/29/world/canada/canada-openai-lawsuit-copyright.html
Crypto Congress + HBD ChatGPT + What Social Media Platform Should I Be On?,2024-11-15T12:00:06+0000,"By Kevin Roose, Casey Newton, Whitney Jones, Rachel Cohn, Jen Poyant, Alyssa Moxley, Dan Powell, Rowan Niemisto and Diane Wong",Podcasts,Cryptocurrency is poised to have a huge year in 2025.,"This week, we explore how the 2024 election paved the way for a new crypto-friendly Congress and what that means for the future of crypto. Then, for ChatGPT’s second birthday, Nick Turley, ChatGPT head of product at OpenAI, stops by to tell us where it goes from here and share some of his favorite chatbot hacks. Finally, a listener emailed us last week asking what social network he should be using in 2024. We’ll share our thoughts on which text-based platforms are the least annoying.",https://www.nytimes.com/2024/11/15/podcasts/crypto-congress-hbd-chatgpt-what-social-media-platform-should-i-be-on.html
A.I. Chatbots Defeated Doctors at Diagnosing Illness,2024-11-17T10:01:01+0000,By Gina Kolata,Health,"A small study found ChatGPT outdid human physicians when assessing medical case histories, even when those doctors were using a chatbot.","Dr. Adam Rodman, an expert in internal medicine at Beth Israel Deaconess Medical Center in Boston, confidently expected that chatbots built to use artificial intelligence would help doctors diagnose illnesses.",https://www.nytimes.com/2024/11/17/health/chatgpt-ai-doctors-diagnosis.html
OpenAI Folds A.I.-Powered Search Engine Into ChatGPT,2024-10-31T17:00:13+0000,By Cade Metz,Technology,"The popular online chatbot can now access and deliver information from across the internet in real time, including news, stock prices and sports scores.",OpenAI has folded a search engine into its ChatGPT chatbot.,https://www.nytimes.com/2024/10/31/technology/chatgpt-openai-search-engine.html
"Stand-Up, Drama and Spambots: The Creative World Takes On A.I.",2024-11-13T10:00:52+0000,By Erin Griffith,Technology,Artificial intelligence has become a subject for people in the art and theater worlds who are worried about being replaced by it.,"Inside a curved glass building next to the Golden State Warriors’ arena in San Francisco, eight cans of Spam with tiny arms whirred to life, tapping out artificial-intelligence-generated word slop on miniature keyboards. They were part of the Misalignment A.I. Museum, a gallery dedicated to A.I.-inspired art.",https://www.nytimes.com/2024/11/13/technology/ai-comedy-museums-plays.html
I Took a ‘Decision Holiday’ and Put A.I. in Charge of My Life,2024-11-01T22:07:32+0000,By Kashmir Hill and Hang Do Thi Duc,Technology,"I thought it would make me put glue on pizza, but instead it entertained my children and got me to finally paint my office. How could it transform our daily lives?","I thought it would make me put glue on pizza, but instead it entertained my children and got me to finally paint my office. How could it transform our daily lives?",https://www.nytimes.com/interactive/2024/11/01/technology/generative-ai-decisions-experiment.html
Elon Musk’s xAI in Funding Talks That Could Value Company at $40 Billion,2024-10-31T20:45:59+0000,By Mike Isaac and Cade Metz,Technology,"The financing efforts follow that of rival OpenAI, which recently closed a funding round that valued it at $157 billion.","Elon Musk’s artificial intelligence start-up, xAI, is in talks to raise new financing that could value it at as much as $40 billion, up from $24 billion five months ago, three people with knowledge of the discussions said.",https://www.nytimes.com/2024/10/31/technology/elon-musk-xai-valuation.html
"Who Is That You Are Chatting With? Oh, Just ChatGPT.",2024-10-13T09:02:12+0000,By Jessica Roy,Style,The artificial intelligence chatbot’s Advanced Voice Mode feature has delighted some users and weirded out others.,"When you think of what a voice programmed by artificial intelligence would sound like, you might picture something robotic and stilted, with a staccato cadence incapable of capturing the inflections, speed and emotion required to sound even somewhat human. But this is 2024, and the robots have gotten a serious upgrade. Now they can imitate voices, accents and intonation to an almost creepy degree — for better or worse.",https://www.nytimes.com/2024/10/13/style/chatgpt-voice-mode.html
Former OpenAI Researcher Says the Company Broke Copyright Law,2024-10-23T15:35:46+0000,By Cade Metz,Technology,Suchir Balaji helped gather and organize the enormous amounts of internet data used to train the startup’s ChatGPT chatbot.,"Suchir Balaji spent nearly four years as an artificial intelligence researcher at OpenAI. Among other projects, he helped gather and organize the enormous amounts of internet data the company used to build its online chatbot, ChatGPT.",https://www.nytimes.com/2024/10/23/technology/openai-copyright-law.html
Microsoft and OpenAI’s Close Partnership Shows Signs of Fraying,2024-10-18T00:56:11+0000,"By Cade Metz, Mike Isaac and Erin Griffith",Technology,The “best bromance in tech” has had a reality check as OpenAI has tried to change its deal with Microsoft and the software maker has tried to hedge its bet on the start-up.,"Last fall, Sam Altman, OpenAI’s chief executive, asked his counterpart at Microsoft, Satya Nadella, if the tech giant would invest billions of dollars in the start-up.",https://www.nytimes.com/2024/10/17/technology/microsoft-openai-partnership-deal.html
OpenAI Unveils New ChatGPT That Can Reason Through Math and Science,2024-09-12T17:05:12+0000,By Cade Metz,Technology,"Driven by new technology called OpenAI o1, the chatbot can test various strategies and try to identify mistakes as it tackles complex tasks.","Online chatbots like ChatGPT from OpenAI and Gemini from Google sometimes struggle with simple math problems. The computer code they generate is often buggy and incomplete. From time to time, they even make stuff up.",https://www.nytimes.com/2024/09/12/technology/openai-chatgpt-math.html
OpenAI Adds $4 Billion Credit Line on Top of $6.6 Billion Investment Round,2024-10-03T18:51:55+0000,By Michael J. de la Merced and Mike Isaac,Technology,The San Francisco company is gathering the billions its executives believe they will need to continue building new A.I. technology.,"OpenAI has set up a $4 billion credit line from an array of banks, adding to its financial firepower after securing a $6.6 billion round of new investments, the company said on Thursday.",https://www.nytimes.com/2024/10/03/technology/openai-credit-line.html
"The Challenge Is to Write 50,000 Words in a Month. Should ChatGPT Be Able to Help?",2024-09-06T16:00:34+0000,By Madison Malone Kircher,Style,"An online writing community was set aflame this week after National Novel Writing Month, or NaNoWriMo, said it wouldn’t take a stance on the use of A.I.","For over 20 years, writers around the world have participated in National Novel Writing Month, or #NaNoWriMo, as it’s known online. The challenge is simple: Write 50,000 words in the month of November. Well, as simple as writing 50,000 words can be. (That’s 1,667 words per day, for those of you doing the math at home.)",https://www.nytimes.com/2024/09/06/style/nanowrimo-ai-writing-challenge.html
Can You Tell Which Short Story ChatGPT Wrote?,2024-08-28T09:05:58+0000,"By Curtis Sittenfeld, Susannah Meadows and Phoebe Lett",Opinion,What the fiction author Curtis Sittenfeld learned in a writing competition race against the machine.,"In this era of artificial intelligence, who can compose a better beach read for the vacationing masses? The beloved fiction writer Curtis Sittenfeld … or ChatGPT?",https://www.nytimes.com/2024/08/28/opinion/curtis-sittenfeld-chatgpt-summer-beach-story.html
OpenAI Is Growing Fast and Burning Through Piles of Money,2024-09-27T20:53:49+0000,By Mike Isaac and Erin Griffith,Technology,"As the company looks for more outside investors, documents reviewed by The New York Times show consumer fascination with ChatGPT and a serious need for more cash.","OpenAI, the San Francisco start-up behind ChatGPT, has been telling investors that it is making billions from its chatbot and that it expects to make a lot more in the coming years. But it has not been quite so clear about how much it is losing.",https://www.nytimes.com/2024/09/27/technology/openai-chatgpt-investors-funding.html
Why Is OpenAI Trying to Raise So Much Money?,2024-09-25T15:48:24+0000,By Cade Metz,Technology,The San Francisco A.I. start-up believes there is not enough computing power on Earth to build the artificial intelligence it wants to create.,"Earlier this year, word spread that Sam Altman, OpenAI’s chief executive, was pitching a plan that he hoped would pump trillions of dollars into the construction of new silicon chip factories and computer data centers.",https://www.nytimes.com/2024/09/25/technology/openai-raise-money.html
What Happened to the A.I. Election? + ChatGPT for Mayor + The Productivity Tools We’re Using,2024-08-23T09:04:32+0000,"By Kevin Roose, Casey Newton, Rachel Cohn, Whitney Jones, Jen Poyant, Daniel Ramirez, Dan Powell, Marion Lozano, Pat McCusker and Rowan Niemisto",Podcasts,"“It’s happening, but people don’t want it public.”","This week, we discuss why so few campaigns seem to be experimenting with A.I. The Times’s Sheera Frenkel joins us with examples of the many different artificial intelligence products that have been turned down by campaigns in this election cycle, from A.I.-generated endorsements from long-dead historical figures to a synthetic version of Donald Trump. Then, we interview the Wyoming man who ran for mayor on the promise that he would exclusively use a customized ChatGPT bot to run the city. And finally, it’s time for a tech check. We run down the apps we’re using to become more productive.",https://www.nytimes.com/2024/08/23/podcasts/what-happened-to-the-ai-election-chatgpt-for-mayor-the-productivity-tools-were-using.html
The Brilliance and Weirdness of ChatGPT,2022-12-05T23:34:37+0000,By Kevin Roose,Technology,"A new chatbot from OpenAI is inspiring awe, fear, stunts and attempts to circumvent its guardrails.","Like most nerds who read science fiction, I’ve spent a lot of time wondering how society will greet true artificial intelligence, if and when it arrives. Will we panic? Start sucking up to our new robot overlords? Ignore it and go about our daily lives?",https://www.nytimes.com/2022/12/05/technology/chatgpt-ai-twitter.html
That Message From Your Doctor? It May Have Been Drafted by A.I.,2024-09-24T14:09:00+0000,By Teddy Rosenbluth,Health,"Overwhelmed by queries, physicians are turning to artificial intelligence to correspond with patients. Many have no clue that the replies are software-generated.","Every day, patients send hundreds of thousands of messages to their doctors through MyChart, a communications platform that is nearly ubiquitous in U.S. hospitals.",https://www.nytimes.com/2024/09/24/health/ai-patient-messages-mychart.html
Is Math the Path to Chatbots That Don’t Make Stuff Up?,2024-09-23T15:11:02+0000,By Cade Metz,Technology,Chatbots like ChatGPT get stuff wrong. But researchers are building new A.I. systems that can verify their own math — and maybe more.,"On a recent afternoon, Tudor Achim gave a brain teaser to an A.I. bot called Aristotle.",https://www.nytimes.com/2024/09/23/technology/ai-chatbots-chatgpt-math.html
How Does ChatGPT Really Work?,2023-03-28T15:30:39+0000,By Kevin Roose,Technology,Learning how a “large language model” operates.,"In the second of our five-part series, I’m going to explain how the technology actually works.",https://www.nytimes.com/2023/03/28/technology/ai-chatbots-chatgpt-bing-bard-llm.html
Can ChatGPT Make This Podcast?,2022-12-09T10:00:06+0000,"By Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Dan Powell, Elisheba Ittoop, Rowan Niemisto and Alyssa Moxley",Podcasts,"OpenAI’s new chatbot is a coder, a teacher, a potential Google killer, and … a friend?","It’s writing podcast scripts, finishing students’ homework and correcting mistakes in computer code: ChatGPT, the A.I. chatbot from OpenAI, is suddenly everywhere. Who should decide how it’s built? What could go wrong? And what could go right?",https://www.nytimes.com/2022/12/09/podcasts/hard-fork-chatgpt-openai.html
The ChatGPT Lawyer Explains Himself,2023-06-08T07:00:19+0000,By Benjamin Weiser and Nate Schweber,New York,"In a cringe-inducing court hearing, a lawyer who relied on A.I. to craft a motion full of made-up case law said he “did not comprehend” that the chat bot could lead him astray.","As the court hearing in Manhattan began, the lawyer, Steven A. Schwartz, appeared nervously upbeat, grinning while talking with his legal team. Nearly two hours later, Mr. Schwartz sat slumped, his shoulders drooping and his head rising barely above the back of his chair.",https://www.nytimes.com/2023/06/08/nyregion/lawyer-chatgpt-sanctions.html
Picture Prompt: A ChatGPT Valentine,2023-02-14T08:00:03+0000,By The Learning Network,The Learning Network,Play with The Times’s A. I. valentine generator and see what you think of the results.,Note to teachers: Please preview this tool to make sure it is appropriate for your students. ,https://www.nytimes.com/2023/02/14/learning/a-chatgpt-valentine.html
How ChatGPT Hijacks Democracy,2023-01-15T10:00:11+0000,By Nathan E. Sanders and Bruce Schneier,Opinion,The greatest threat A.I. may present is its ability to replace humans in lobbying.,"Launched just weeks ago, ChatGPT is already threatening to upend how we draft everyday communications like emails, college essays and myriad other forms of writing.",https://www.nytimes.com/2023/01/15/opinion/ai-chatgpt-lobbying-democracy.html
‘Artificial Flavors’ Review: Blame ChatGPT for This Musical,2023-10-31T16:24:27+0000,By Naveen Kumar,Theater,"Each performance culminates in a production, composed on the spot, with misguided help from artificial intelligence.","Artificial intelligence can paint meddlesome monkeys, speak in the basso profundo of James Earl Jones and play a tune to suit a hall of mirrors. But it can’t write a musical that doesn’t feel canned (at least, not yet). That’s the argument put forward by “Artificial Flavors,” a live demonstration of A.I.’s creative capabilities — and tedious limitations — at 59E59 Theaters.",https://www.nytimes.com/2023/10/31/theater/artificial-flavors-review.html
"Despite Cheating Fears, Schools Repeal ChatGPT Bans",2023-08-24T09:01:34+0000,By Natasha Singer,Business Day,Some districts that once raced to block A.I. chatbots are now trying to embrace them.,"For decades, Walla Walla High School in the wheat basket of Washington State has maintained an old red wooden barn on campus where students learn a venerable farming skill: how to raise pigs and sheep.",https://www.nytimes.com/2023/08/24/business/schools-chatgpt-chatbot-bans.html
What Would Plato Say About ChatGPT?,2022-12-15T10:00:10+0000,By Zeynep Tufekci,Opinion,A.I. can be a learning tool for schools with enough teachers and resources to use it well. ,"Plato mourned the invention of the alphabet, worried that the use of text would threaten traditional memory-based arts of rhetoric. In his “Dialogues,” arguing through the voice of Thamus, the Egyptian king of the gods, Plato claimed the use of this more modern technology would create “forgetfulness in the learners’ souls, because they will not use their memories,” that it would impart “not truth but only the semblance of truth” and that those who adopt it would “appear to be omniscient and will generally know nothing,” with “the show of wisdom without the reality.”",https://www.nytimes.com/2022/12/15/opinion/chatgpt-education-ai-technology.html
The New ChatGPT Can ‘See’ and ‘Talk.’ Here’s What It’s Like.,2023-09-27T18:09:35+0000,By Kevin Roose,Technology,"The image-recognition feature could have many uses, and the voice feature is even more intriguing.","ChatGPT — viral artificial intelligence sensation, slayer of boring office work, sworn enemy of high school teachers and Hollywood screenwriters alike — is getting some new powers.",https://www.nytimes.com/2023/09/27/technology/new-chatgpt-can-see-hear.html
ChatGPT Is Banned in Italy Over Privacy Concerns,2023-03-31T16:02:02+0000,By Adam Satariano,Technology,The action by Italy’s data protection agency is the first known instance of the chatbot’s being blocked by a government order.,"The artificial intelligence tool ChatGPT was temporarily banned in Italy on Friday, the first known instance of the chatbot being blocked by a government order.",https://www.nytimes.com/2023/03/31/technology/chatgpt-italy-ban.html
Will ChatGPT Make Me Irrelevant?,2022-12-15T17:00:05+0000,By Frank Bruni,Opinion,Artificial intelligence works magic but at a price: our pride of ownership and sense of purpose.,"Like every other journalist I know, I often and unabashedly ask for help. Friends give me ideas. Colleagues give me phrases. Editors suggest what to keep, what to cut and where a key detail belongs. My field of vision is only so wide, my brain only so big. I’d be a fool not to supplement.",https://www.nytimes.com/2022/12/15/opinion/chatgpt-artificial-intelligence.html
Noam Chomsky: The False Promise of ChatGPT,2023-03-08T10:00:25+0000,"By Noam Chomsky, Ian Roberts and Jeffrey Watumull",Opinion,The most prominent strain of A.I. encodes a flawed conception of language and knowledge.,"Jorge Luis Borges once wrote that to live in a time of great peril and promise is to experience both tragedy and comedy, with “the imminence of a revelation” in understanding ourselves and the world. Today our supposedly revolutionary advancements in artificial intelligence are indeed cause for both concern and optimism. Optimism because intelligence is the means by which we solve problems. Concern because we fear that the most popular and fashionable strain of A.I. — machine learning — will degrade our science and debase our ethics by incorporating into our technology a fundamentally flawed conception of language and knowledge.",https://www.nytimes.com/2023/03/08/opinion/noam-chomsky-chatgpt-ai.html
China Chases ChatGPT’s Success,2023-02-23T13:06:08+0000,"By Andrew Ross Sorkin, Ravi Mattu, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",Business Day,A wave of Chinese tech companies are announcing their own A.I.-powered chatbots — but face hurdles imposed by their own government.,"The hottest story in technology right now is the rise of ChatGPT, and the race among tech giants like Microsoft and Google to offer A.I.-powered services of their own. But the A.I. arms race isn’t confined to the U.S.; other countries are also rushing to show they’re big players.",https://www.nytimes.com/2023/02/23/business/dealbook/china-ai-chatgpt.html
ChatGPT Gets Fresh Competition,2023-02-07T12:33:52+0000,"By Andrew Ross Sorkin, Ravi Mattu, Bernhard Warner, Sarah Kessler, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",Business Day,"Google and Baidu are set to introduce their own A.I.-powered chatbots to challenge OpenAI, Microsoft and the rising popularity of ChatGPT.","Just over two months ago, OpenAI released ChatGPT to the public, instantly thrusting the A.I.-powered chatbot into the center of mainstream discourse, with debates about how it could transform business, education and more. (It also spurred Microsoft to invest $10 billion in OpenAI.)",https://www.nytimes.com/2023/02/07/business/dealbook/chatgpt-google-baidu.html
ChatGPT Has a Devastating Sense of Humor,2022-12-16T10:00:19+0000,By Farhad Manjoo,Opinion,"The chat bot makes a lot of mistakes. But it’s fun to talk to, and it knows its limitations.","ChatGPT makes an irresistible first impression. It’s got a devastating sense of humor, a stunning capacity for dead-on mimicry, and it can rhyme like nobody’s business. Then there is its overwhelming reasonableness. When ChatGPT fails the Turing test, it’s usually because it refuses to offer its own opinion on just about anything. When was the last time real people on the internet declined to tell you what they really think?",https://www.nytimes.com/2022/12/16/opinion/conversation-with-chatgpt.html
OpenAI to Offer New Version of ChatGPT for a $20 Monthly Fee,2023-02-01T20:33:43+0000,By Cade Metz,Technology,The San Francisco artificial intelligence lab has seen overwhelming interest in its chatbot since it was released in November.,"In November, OpenAI wowed the world when it released an experimental online chatbot called ChatGPT that could answer questions, write poetry and riff on almost any topic tossed its way.",https://www.nytimes.com/2023/02/01/technology/openai-chatgpt-plus-subscription.html
OpenAI Lets Mom-and-Pop Shops Customize ChatGPT,2023-11-06T18:15:07+0000,By Cade Metz,Technology,"With a new GPTs service, anyone can build a chatbot and instantly share it with friends, family and the general public.","OpenAI said on Monday that it had created a service that allows individuals and small businesses to build customized versions of its popular online chatbot, ChatGPT, and instantly share them on the internet.",https://www.nytimes.com/2023/11/06/technology/openai-custom-chatgpt.html
"A.I. Needs an International Watchdog, ChatGPT Creators Say",2023-05-24T13:19:17+0000,By Gregory Schmidt,Business Day,"To manage its risks, “superintelligent” artificial intelligence should be governed by a body similar to the International Atomic Energy Agency, the lab’s leadership said in note on its website.","The leaders of OpenAI, the artificial intelligence research lab that developed the chatbot ChatGPT, have called for regulation of “superintelligent” A.I. technology, saying it “will be more powerful than other technologies humanity has had to contend with in the past.”",https://www.nytimes.com/2023/05/24/business/artificial-intelligence-regulation-openai.html
What Students Are Saying About ChatGPT,2023-02-02T19:56:34+0000,By The Learning Network,The Learning Network,Is this new chatbot the end of education as we know it? Or a useful new tool for learning? Teenagers weigh in.,"By now you’ve probably heard of ChatGPT, a powerful new artificial intelligence chatbot released to the public late last year that can craft jokes and working computer code, guess at medical diagnoses, and create text-based Harry Potter games. ",https://www.nytimes.com/2023/02/02/learning/students-chatgpt.html
"The New ChatGPT, Hype vs. Reality",2024-05-31T09:05:07+0000,By Brian X. Chen and Karen Hanley,Technology,"Our tech columnist reviews GPT-4o, OpenAI’s latest chatbot technology, in its partly finished state.","Our tech columnist reviews GPT-4o, OpenAI’s latest chatbot technology, in its partly finished state.",https://www.nytimes.com/video/technology/100000009494471/the-new-chatgpt-hype-vs-reality.html
How ChatGPT Kicked Off an A.I. Arms Race,2023-02-03T10:00:13+0000,By Kevin Roose,Technology,"Even inside the company, the chatbot’s popularity has come as something of a shock.","One day in mid-November, workers at OpenAI got an unexpected assignment: Release a chatbot, fast.",https://www.nytimes.com/2023/02/03/technology/chatgpt-openai-artificial-intelligence.html
How Should Schools Respond to ChatGPT?,2023-01-25T02:47:54+0000,By Katherine Schulten,The Learning Network,"Have you experimented with this new technology? Can teachers and students use it productively, ethically and safely in your opinion? How?",Teachers: We also have a related lesson plan about teaching and learning with ChatGPT.,https://www.nytimes.com/2023/01/24/learning/how-should-schools-respond-to-chatgpt.html
The New ChatGPT Offers a Lesson in A.I. Hype,2024-05-31T09:07:33+0000,By Brian X. Chen,Technology,"OpenAI released GPT-4o, its latest chatbot technology, in a partly finished state. It has much to prove.","When OpenAI unveiled the latest version of its immensely popular ChatGPT chatbot this month, it had a new voice possessing humanlike inflections and emotions. The online demonstration also featured the bot tutoring a child on solving a geometry problem.",https://www.nytimes.com/2024/05/31/technology/personaltech/chatgpt-4o-openai-review.html
Why China Didn’t Invent ChatGPT,2023-02-17T10:00:19+0000,By Li Yuan,Business Day,The state’s hardening censorship and heavier hand have held back its tech industry; so has entrepreneurs’ reluctance to invest for the long term. It wasn’t always that way.,"Just a few years ago, China was on track to challenge United States dominance in artificial intelligence. The balance of power was tilting in China’s direction because it had abundant data, hungry entrepreneurs, skilled scientists and supportive policies. The country led the world in patent filings related to artificial intelligence.",https://www.nytimes.com/2023/02/17/business/china-chatgpt-microsoft-openai.html
ChatGPT Transforms a Classroom and Is ‘M3GAN’ Real?,2023-01-13T10:05:05+0000,"By Kevin Roose, Casey Newton, Davis Land, Paula Szuchman, Alyssa Moxley, Dan Powell, Elisheba Ittoop and Marion Lozano",Podcasts,"Also, why teenagers are buying old digital cameras.","A high school teacher on how the new chatbot from OpenAI is transforming her classroom — for the better. And, “M3GAN” may be closer than you think.",https://www.nytimes.com/2023/01/13/podcasts/hard-fork-chatgpt-teachers-gen-z-cameras-m3gan.html
My So-So Encounters with ChatGPT,2022-12-16T20:00:11+0000,By Peter Coy,Opinion,"If you can’t do your job better than A.I., maybe you need another job.","A mountain man buys his first chain saw. He comes back to the store a week later complaining that it cuts down only two trees a day when he was told it would cut down 20. The service person says, “Well, let’s see what the trouble is,” and starts it up. The mountain man jumps back and asks, “What’s that noise?” (He’d been sawing without the engine on.)",https://www.nytimes.com/2022/12/16/opinion/chatgpt-artificial-intelligence-skill-job.html
ChatGPT Can Now Respond With Spoken Words,2023-09-25T12:00:12+0000,"By Cade Metz, Brian X. Chen and Karen Weise",Technology,A new version of OpenAI’s popular chatbot behaves a lot like Siri and Alexa. You can talk to it — and have a conversation.,ChatGPT has learned to talk.,https://www.nytimes.com/2023/09/25/technology/chatgpt-talk-digital-assistance.html
